household_id,rate_plan_id,start_date,end_date
1,4,2006-08-15,2008-10-25
2,5,2006-08-31,2008-08-12
3,6,2006-02-13,2008-09-16
4,5,2006-11-21,2009-10-07
5,1,2006-05-01,2009-01-25
6,2,2006-04-12,2008-02-07
7,1,2006-01-24,2008-06-08
8,4,2006-11-09,2008-04-06
9,4,2006-08-01,2010-10-22
10,2,2006-07-16,2010-04-23
11,4,2006-05-05,2008-03-02
12,6,2006-01-03,2007-08-09
13,4,2006-04-23,2008-04-17
14,6,2006-09-23,2010-05-01
15,1,2006-10-13,2009-03-06
16,1,2006-08-22,2008-05-21
17,4,2006-09-29,2010-11-16
18,5,2006-06-12,2009-12-04
19,5,2006-09-16,2010-02-05
20,5,2006-08-17,2008-07-07
21,6,2006-09-01,2010-03-10
22,3,2006-05-07,2010-12-02
23,3,2006-09-24,2010-06-12
24,6,2006-05-03,2008-11-15
25,4,2006-02-09,2008-09-16
26,2,2006-05-20,2009-04-06
27,3,2006-10-04,2008-03-17
28,2,2006-03-19,2008-07-04
29,4,2006-03-20,2008-05-31
30,1,2006-08-01,2009-11-12
31,3,2006-10-05,2010-05-16
32,4,2006-02-01,2008-03-30
33,4,2006-07-19,2010-10-27
34,6,2006-01-11,2010-04-04
35,4,2006-09-02,2007-09-14
36,3,2006-06-02,2009-08-08
37,4,2006-10-03,2010-10-25
38,5,2006-04-23,2010-01-16
39,2,2006-05-20,2009-10-28
40,4,2006-01-15,2009-03-21
41,3,2006-07-27,2008-06-29
42,4,2006-03-07,2010-09-01
43,5,2006-01-14,2009-03-30
44,5,2006-10-16,2007-12-10
45,1,2006-11-26,2010-04-21
46,2,2006-08-25,2008-08-31
47,1,2006-05-14,2009-06-28
48,3,2006-04-19,2009-11-05
49,3,2006-06-22,2009-08-06
50,3,2006-08-04,2009-01-01
51,1,2006-08-29,2007-10-07
52,6,2006-10-04,2008-01-18
53,3,2006-04-25,2010-12-16
54,1,2006-11-30,2008-02-20
55,1,2006-05-07,2008-06-18
56,1,2006-11-15,2008-09-22
57,2,2006-03-06,2009-10-30
58,6,2006-02-28,2010-04-28
59,2,2006-08-27,2009-02-01
60,3,2006-03-27,2010-08-18
61,5,2006-02-28,2008-01-29
62,3,2006-02-25,2010-05-25
63,1,2006-06-09,2010-08-31
64,6,2006-07-12,2009-10-01
65,6,2006-04-12,2007-09-14
66,5,2006-11-18,2009-03-29
67,1,2006-06-04,2010-10-15
68,1,2006-10-17,2008-01-09
69,3,2006-09-30,2010-02-23
70,6,2006-07-09,2007-11-27
71,5,2006-11-28,2009-10-26
72,1,2006-08-04,2010-05-03
73,1,2006-08-10,2009-08-20
74,6,2006-08-24,2008-07-02
75,4,2006-04-01,2010-03-04
76,6,2006-05-19,2010-10-31
77,5,2006-09-05,2010-04-14
78,4,2006-10-31,2009-05-02
79,3,2006-05-06,2007-10-30
80,3,2006-08-19,2008-12-30
81,4,2006-10-19,2009-12-03
82,3,2006-01-15,2009-10-23
83,3,2006-04-04,2009-12-27
84,2,2006-07-01,2008-12-11
85,3,2006-05-24,2010-09-25
86,6,2006-05-22,2010-07-03
87,1,2006-09-22,2008-10-17
88,1,2006-05-04,2009-08-13
89,4,2006-10-12,2009-02-15
90,6,2006-09-01,2010-06-02
91,4,2006-01-09,2007-07-18
92,3,2006-04-24,2009-07-30
93,6,2006-05-05,2009-01-21
94,6,2006-10-25,2009-11-18
95,4,2006-10-11,2010-10-02
96,3,2006-08-06,2010-09-06
97,3,2006-06-30,2010-01-14
98,3,2006-06-06,2008-11-01
99,2,2006-03-03,2008-03-31
100,3,2006-03-03,2010-03-04
