id,address,city,state,zip_code,installation_date
1,509 Elm Dr,Orlando,FL,33003,2006-04-25
2,1779 Cherry St,Tampa,FL,32356,2006-10-30
3,620 Oak Ave,Tallahassee,FL,32383,2006-04-22
4,8379 Ash Pl,Jacksonville,FL,32108,2006-10-15
5,9028 Walnut Way,Jacksonville,FL,32902,2006-08-18
6,4657 Oak Ave,Sarasota,FL,32653,2006-08-05
7,4652 Pine Rd,Gainesville,FL,32881,2006-06-22
8,1619 Walnut Way,Orlando,FL,32396,2006-07-03
9,9991 Elm Dr,Gainesville,FL,32177,2006-08-24
10,2145 Walnut Way,Boca Raton,FL,32322,2006-10-10
11,6025 Ash Pl,Fort Lauderdale,FL,32787,2006-02-05
12,3833 Elm Dr,Miami,FL,32326,2006-04-30
13,6327 Elm Dr,Orlando,FL,33857,2006-11-22
14,2764 Birch Ln,Gainesville,FL,33455,2006-04-18
15,1269 Ash Pl,Fort Lauderdale,FL,34600,2006-03-29
16,4110 Pine Rd,Boca Raton,FL,33893,2006-07-14
17,9225 Cedar Blvd,Fort Lauderdale,FL,34804,2006-06-16
18,3852 Oak Ave,Miami,FL,33292,2006-07-25
19,1184 Cedar Blvd,Fort Lauderdale,FL,34323,2006-06-11
20,8279 Walnut Way,Jacksonville,FL,34633,2006-08-23
21,4439 Pine Rd,Tampa,FL,33010,2006-10-15
22,4404 Ash Pl,Boca Raton,FL,33754,2006-10-26
23,6030 Cedar Blvd,Tallahassee,FL,32566,2006-09-18
24,1589 Oak Ave,Naples,FL,32449,2006-03-20
25,7016 Ash Pl,Tampa,FL,32260,2006-07-17
26,9863 Spruce Ct,Tallahassee,FL,34167,2006-05-09
27,288 Maple St,Boca Raton,FL,34792,2006-10-02
28,5673 Maple St,Fort Lauderdale,FL,33202,2006-08-11
29,7533 Oak Ave,Tampa,FL,34957,2006-05-15
30,3027 Cherry St,Boca Raton,FL,32435,2006-11-17
31,8417 Ash Pl,Fort Lauderdale,FL,32814,2006-03-20
32,2746 Cherry St,Gainesville,FL,34172,2006-01-01
33,5410 Spruce Ct,Sarasota,FL,32079,2006-02-27
34,5138 Cedar Blvd,Gainesville,FL,32237,2006-05-04
35,1390 Maple St,Sarasota,FL,34997,2006-09-06
36,8827 Pine Rd,Orlando,FL,32525,2006-12-04
37,9107 Pine Rd,Naples,FL,33085,2006-09-28
